,name,syllables,state,fraction
0,Mary,2,PA,0.084196169
1,Anna,2,PA,0.134590851
2,Emma,2,TX,0.079106751
3,Elizabeth,4,NY,0.091867479
4,Minnie,2,AL,0.088440471
5,Margaret,3,PA,0.109466217
6,Ida,2,NY,0.08999203
7,Alice,2,NY,0.0881814
8,Bertha,2,TX,0.074786752
9,Sarah,2,CA,0.081648678
10,Annie,2,GA,0.132663258
11,Clara,2,PA,0.062305166
12,Ella,2,TX,0.06574018
13,Florence,2,NY,0.163546235
14,Cora,2,TX,0.06234739
15,Martha,2,TX,0.076482204
16,Laura,2,CA,0.094098893
17,Nellie,2,NC,0.069974123
18,Grace,1,NY,0.101370682
19,Carrie,2,CA,0.06008838
20,Maude,1,NC,0.115187013
21,Mabel,2,PA,0.087460268
22,Bessie,2,GA,0.073597221
23,Jennie,2,NY,0.142391566
24,Gertrude,2,NY,0.145137137
25,Julia,3,NY,0.091520942
26,Hattie,2,NC,0.107907429
27,Edith,2,NY,0.094960396
28,Mattie,2,GA,0.162654847
29,Rose,1,NY,0.175599282
30,Catherine,3,NY,0.13441815
31,Lillian,3,NY,0.115473349
32,Ada,2,TX,0.0647582
33,Lillie,2,GA,0.105552909
34,Helen,2,PA,0.120231315
35,Jessie,2,TX,0.080370334
36,Louise,2,NY,0.088735788
37,Ethel,2,PA,0.084663641
38,Lula,2,AL,0.102303657
39,Eva,2,TX,0.086141905
40,Frances,2,NY,0.113873682
41,Lena,2,NY,0.094002178
42,Lucy,2,NY,0.09688214
43,Edna,2,PA,0.068293529
44,Maggie,2,NC,0.089045687
45,Pearl,1,NY,0.099180492
46,Daisy,2,CA,0.18384227
47,Fannie,2,GA,0.11363349
48,Josephine,3,NY,0.164881371
49,Dora,2,TX,0.158298561
50,Rosa,2,TX,0.175475762
51,Katherine,3,CA,0.090485274
52,Agnes,2,PA,0.12124856
53,Marie,2,NY,0.141380163
54,Nora,2,TX,0.081289674
55,May,1,NY,0.132002609
56,Mamie,2,GA,0.135123768
57,Stella,2,PA,0.095892963
58,Ellen,2,NY,0.13571711
59,Nancy,2,NY,0.09279588
60,Effie,2,TX,0.088055172
61,Sallie,2,NC,0.128626648
62,Nettie,2,GA,0.082190632
63,Della,2,KY,0.069696732
64,Lizzie,2,GA,0.199899964
65,Flora,2,AL,0.069685533
66,Susie,2,GA,0.107047003
67,Mae,1,PA,0.071409763
68,Etta,2,NC,0.083344296
69,Harriet,3,NY,0.174449722
70,Sadie,2,NY,0.066368218
71,Caroline,3,NY,0.094447857
72,Katie,2,CA,0.078536102
73,Lydia,3,TX,0.095809789
74,Elsie,2,PA,0.083876551
75,Kate,1,CA,0.11075172
76,Susan,2,NY,0.111746697
77,Mollie,2,NY,0.113545584
78,Alma,2,TX,0.107770618
79,Addie,2,NC,0.117865655
80,Georgia,2,TX,0.077612856
81,Eliza,3,TX,0.085351684
82,Lottie,2,NC,0.072761708
83,Amanda,3,CA,0.087486136
84,Belle,1,NY,0.244223129
85,Charlotte,2,NY,0.073748766
86,Rebecca,3,CA,0.086303159
87,Ruth,1,PA,0.095737953
88,Viola,3,NY,0.064729697
89,Olive,2,PA,0.100271745
90,Amelia,3,CA,0.089835311
91,Hannah,2,CA,0.084196823
92,Jane,1,NY,0.113811817
93,Virginia,3,NY,0.071368132
94,Emily,3,CA,0.108720943
95,Matilda,3,NY,0.140263617
96,Irene,2,NY,0.107354215
97,Kathryn,2,PA,0.093277183
98,Esther,2,NY,0.122415682
99,Henrietta,4,NY,0.106727393
100,Ollie,2,TX,0.112028452
101,Amy,2,CA,0.080058208
102,Rachel,2,CA,0.09291148
103,Sara,2,CA,0.087410303
104,Estella,3,TX,0.178416766
105,Theresa,3,NY,0.156799425
106,Augusta,3,NY,0.178479838
107,Ora,2,MS,0.124559613
108,Pauline,2,PA,0.089433392
109,Josie,2,TX,0.11034978
110,Lola,2,TX,0.094453441
111,Sophia,3,CA,0.15989557
112,Leona,3,PA,0.082977463
113,Anne,1,NY,0.163016803
114,Mildred,2,NY,0.083525072
115,Ann,1,NY,0.138276454
116,Callie,2,TX,0.096253102
117,Delia,3,TX,0.289164549
118,Eleanor,3,NY,0.133986655
119,Barbara,3,NY,0.103062743
120,Iva,2,TX,0.094319961
121,Louisa,3,NY,0.170033024
122,Maria,3,TX,0.256947754
123,Evelyn,3,NY,0.087139487
124,Estelle,2,NY,0.185691016
125,Nina,2,NY,0.09598957
126,Betty,2,PA,0.070458593
127,Marion,3,NY,0.184840028
128,Dorothy,3,PA,0.091876618
129,Luella,3,MN,0.075489731
130,Inez,2,GA,0.078970537
131,Lela,2,TX,0.116944022
132,Rosie,2,MS,0.170103691
133,Allie,2,TX,0.106645967
134,Millie,2,NY,0.128769592
135,Janie,2,TX,0.204880003
136,Cornelia,4,NY,0.095167144
137,Victoria,4,CA,0.132422406
138,Ruby,2,TX,0.105118691
139,Winifred,3,NY,0.163164441
140,Alta,2,TX,0.10005128
141,Celia,3,TX,0.1498568
142,Christine,2,NY,0.11944357
143,Beatrice,3,NY,0.129928033
144,Mable,2,NC,0.09614174
145,Myra,2,NY,0.087347242
146,Sophie,2,NY,0.125374349
147,Isabel,3,CA,0.192681489
148,Sylvia,3,NY,0.143862748
149,Carolyn,3,NY,0.06090176
150,Isabelle,3,CA,0.096616552
151,Leila,2,CA,0.158456963
152,Sally,2,NY,0.099969719
153,Ina,2,TX,0.088260458
154,Nell,1,TX,0.120621638
155,Alberta,3,PA,0.096524522
156,Katharine,3,NY,0.119373147
157,Lora,2,OH,0.072352637
158,Rena,2,NY,0.085083897
159,Mina,2,CA,0.196654152
160,Rhoda,2,NY,0.281781204
161,Abbie,2,TX,0.102115971
162,Eunice,2,TX,0.065515514
163,Ola,2,TX,0.140124982
164,Lenora,3,TX,0.0829923
165,Adelaide,3,NY,0.17522104
166,Christina,3,CA,0.143608947
167,Lelia,3,VA,0.168232679
168,Sue,1,OH,0.083837615
169,Johanna,3,NY,0.15427368
170,Lilly,2,CA,0.088016391
171,Lucinda,3,TX,0.088520011
172,Minerva,3,TX,0.384854243
173,Roxie,2,TX,0.104612984
174,Cynthia,3,CA,0.119329776
175,Helena,3,NY,0.139133688
176,Hilda,2,NY,0.100681302
177,Bernice,2,IL,0.080209982
178,Genevieve,3,NY,0.111457577
179,Jean,1,NY,0.128428369
180,Cordelia,4,TX,0.139430729
181,Marian,3,PA,0.12423431
182,Francis,2,TX,0.162402652
183,Jeanette,2,NY,0.115063683
184,Adeline,3,NY,0.094002207
185,Leah,2,CA,0.098231253
186,Lois,2,PA,0.084260252
187,Hallie,2,TX,0.104153553
188,Isabella,4,CA,0.153292877
189,Olga,2,TX,0.179206169
190,Phoebe,2,CA,0.134154276
191,Teresa,3,CA,0.101357222
192,Lina,2,CA,0.239126305
193,Winnie,2,TX,0.18701108
194,Claudia,3,CA,0.197324637
195,Marguerite,3,NY,0.111252253
196,Vera,2,TX,0.068515199
197,Cecelia,3,PA,0.130053776
198,Emilie,3,CA,0.124842433
199,John,1,NY,0.118271383
200,Rosetta,3,AL,0.067806016
201,Verna,2,PA,0.109290558
202,Cecilia,3,CA,0.165866107
203,Elva,2,TX,0.152760397
204,Olivia,4,CA,0.104917282
205,Ophelia,4,TX,0.116313589
206,Georgie,2,TX,0.151815048
207,Elnora,3,MS,0.10628725
208,Violet,3,PA,0.080337452
209,Adele,2,NY,0.27269285
210,Lily,2,CA,0.114580186
211,Loretta,3,NY,0.104791013
212,Polly,2,NC,0.081682585
213,Eugenia,3,NY,0.121981311
214,Lucille,2,NY,0.072564754
215,Rosalie,3,NY,0.136803884
216,Angie,2,CA,0.170824465
217,Dessie,2,TX,0.126683463
218,Lila,2,NY,0.079229637
219,Regina,3,NY,0.110828202
220,Selma,2,NY,0.266241055
221,Wilhelmina,4,SC,0.178358124
222,Bridget,2,NY,0.096124572
223,Malinda,3,PA,0.111954334
224,Jeannette,2,NY,0.118441099
225,Mandy,2,TX,0.097655285
226,Roberta,3,NY,0.095366378
227,Cassie,2,TX,0.095891458
228,Corinne,2,NY,0.138243964
229,Ivy,2,CA,0.125258739
230,Melissa,3,CA,0.113594865
231,Naomi,3,CA,0.095122961
232,Norma,2,TX,0.086648918
233,Margie,2,TX,0.110574504
234,Nona,2,TX,0.13386593
235,Elvira,3,TX,0.2830714
236,Erma,2,PA,0.08634635
237,Irma,2,TX,0.180778674
238,William,2,NY,0.114686457
239,Charity,3,CA,0.07103972
240,Lorena,3,CA,0.293066343
241,Alvina,3,MN,0.146057138
242,Annette,2,NY,0.120812532
243,Catharine,3,PA,0.432270473
244,Elma,2,TX,0.111860226
245,Geneva,3,KY,0.085959602
246,Janet,2,NY,0.089735881
247,Lee,1,NY,0.092417761
248,Leora,3,NY,0.111328766
249,Lona,2,TX,0.121852949
250,Miriam,3,NY,0.221569927
251,Linda,2,CA,0.079838235
252,Octavia,4,LA,0.091706909
253,Frieda,2,NY,0.231161995
254,Joanna,3,CA,0.172900231
255,Priscilla,3,CA,0.154987648
256,Angeline,3,PA,0.155565872
257,Hanna,2,CA,0.117232166
258,Rosella,3,PA,0.144146956
259,Elisabeth,4,CA,0.12393283
260,Elise,2,CA,0.116618677
261,Goldie,2,KY,0.084486716
262,Juanita,3,TX,0.148492347
263,Nola,2,KY,0.074031516
264,Zoe,2,CA,0.141167203
265,Isabell,3,TX,0.101765248
266,James,1,TX,0.087458486
267,Julie,2,CA,0.115752107
268,Madeline,3,NY,0.128768943
269,Mariah,3,CA,0.13178373
270,Vivian,3,CA,0.081063672
271,Aurelia,4,TX,0.187228973
272,Claire,1,NY,0.102526272
273,Dolly,2,PA,0.080200587
274,Hazel,2,TX,0.061547148
275,Jannie,2,SC,0.294020992
276,Kathleen,2,NY,0.129259659
277,Kathrine,2,CA,0.148364618
278,Marietta,4,NY,0.126455589
279,Samantha,3,CA,0.135796897
280,Susanna,3,CA,0.18784418
281,Chloe,2,CA,0.117422514
282,Elsa,2,CA,0.21847788
283,Gladys,2,NY,0.070523882
284,Antoinette,3,NY,0.267220383
285,Lilian,3,CA,0.194334545
286,Magdalena,4,TX,0.298973323
287,Rita,2,NY,0.131431883
288,Antonia,4,TX,0.254827661
289,Gracie,2,TX,0.11136097
290,Iona,3,IL,0.07492931
291,Liza,2,NY,0.181076538
292,Molly,2,CA,0.07130448
293,Neva,2,TX,0.106322876
294,Cecile,2,MA,0.157240964
295,Cleo,2,TX,0.09453278
296,Donna,2,NY,0.077036255
297,Ellie,2,CA,0.108371256
298,Evie,2,TX,0.109955177
299,Frankie,2,TX,0.16796955
300,Helene,2,NY,0.297623546
301,Queen,1,SC,0.158159169
302,Savannah,3,CA,0.109616876
303,Tina,2,CA,0.097080785
304,America,4,CA,0.35875211
305,Anita,3,NY,0.095072988
306,Dorothea,4,NY,0.175913603
307,Marjorie,3,NY,0.089560232
308,Sidney,2,TX,0.112570628
309,Velma,2,TX,0.101688777
310,Clare,1,NY,0.16231112
311,Constance,2,NY,0.121854606
312,Dixie,2,TX,0.085145309
313,Ila,2,TX,0.102202395
314,Lucia,3,CA,0.215207382
315,Patsy,2,TX,0.167891119
316,Betsy,2,NY,0.102365786
317,Bonnie,2,CA,0.061182356
318,June,1,NY,0.095561148
319,Marcella,3,IL,0.088722575
320,Melinda,3,CA,0.111741982
321,Mona,2,CA,0.096384824
322,Odessa,3,TX,0.133390279
323,Veronica,4,CA,0.18327704
324,Aimee,2,CA,0.144325109
325,Annabel,3,CA,0.167270541
326,Ava,2,CA,0.091695468
327,Bella,2,CA,0.16407424
328,Carolina,4,CA,0.273406344
329,Dena,2,CA,0.13400267
330,Dolores,3,PA,0.149975362
331,Eleanore,3,PA,0.153988695
332,Fay,1,NY,0.13691509
333,Jenny,2,CA,0.159449617
334,Reba,2,TN,0.121767977
335,Serena,3,CA,0.21845915
336,Vida,2,TX,0.170116116
337,Abigail,3,CA,0.101145736
338,Celina,3,CA,0.284295877
339,Connie,2,CA,0.071570261
340,Deborah,3,NY,0.093737516
341,Emelia,4,CA,0.107630341
342,India,3,GA,0.085835625
343,Jeanne,1,NY,0.129942553
344,Joan,1,NY,0.176855745
345,Lenore,2,NY,0.247539683
346,Rachael,2,CA,0.089837921
347,Willa,2,MO,0.061832652
348,Aline,2,LA,0.157404959
349,Eloise,3,GA,0.074250068
350,Iris,2,NY,0.111395205
351,Therese,2,IL,0.142006919
352,Wanda,2,TX,0.089464117
